"username","name","surname","email","phoneNumber","password","notificationTypes","notificationChannel","paymentMethod"
"jdoe","John","Doe","jdoe1@example.com","+1 3271555555","pass123","GATE_CHANGE-CANCELLATION","EMAIL","CREDIT_CARD"
"ajohnson","Alice","Johnson","ajohnson@example.com",,"pass456","DELAY","EMAIL","PAYPAL"
"mwhite","Mary","White","mwhite@example.com","+1 3478888888","pass789","DELAY-GATE_CHANGE","SMS-EMAIL","DEBIT_CARD"
"richardroe","Richard","Roe","richardroe@example.com","+44 9876543210","password789","GATE_CHANGE-CANCELLATION","EMAIL","BANK_TRANSFER"
"jsmith","Jane","Smith","jsmith@example.com",,"password145","CANCELLATION","EMAIL","CREDIT_CARD"
"bbrown","Bob","Brown","bbrown@example.com",,"pass01234","GATE_CHANGE-CANCELLATION","EMAIL","PAYPAL"
"smorini","Samanta","Morini","smorini@example.com","+39 3289999999","pass45678","SPECIAL_OFFER","SMS","BANK_TRANSFER"
"not defined","Andrea","Morini","smorini@example.com",,"","GATE_CHANGE-CANCELLATION","EMAIL","No payment method set"
"not defined","Simona","Limoncelli","jdoe@example.com","","GATE_CHANGE-CANCELLATION","EMAIL","No payment method set"
"not defined","Simona","Limoncelli","jdoe@example.com","","GATE_CHANGE-CANCELLATION","EMAIL","No payment method set"
