"username","password","email","role"
"jsmith","password145","smith@example.com","Passenger"
"jdoe","pass123","jdoe@example.com","Passenger"
"bbrown","pass01234","bbrown@example.com","Passenger"
"mwhite","pass789","mwhite@example.com","Passenger"
"duplicateUser","password","duplicate@example.com","Passenger"
"newUser","newPass123","newuser@example.com","Passenger"
"admin","admin123","admin@example.com","Admin"
"smorini","pass45678","smorini@example.com","Passenger"
"updateUser","newPassword","newEmail@example.com","Passenger"
"ajohnson","pass456","ajohnson@example.com","Passenger"
"richardroe","password789","richardroe@example.com","Passenger"
